Board,Solution
"..u...u......R...B........R.u.......","1. B f4 up   2. u a5 up   3. B f5 up   4. u e2 right   5. B f6 right"
"...B....R.....R.......u...uu........","1. B d6 right   2. u c2 left   3. B e6 right   4. u b2 left   5. B f6 right"
"..BR..R.........u.....u..u..........","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
".......B..R..R.u.....u......u.......","1. B b5 left   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"R..B........u...R........uu.........","1. B d6 right   2. u b2 left   3. B e6 right   4. u a2 down   5. B f6 right"
"............B.......R.u...u.u..R....","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
".u......u.B.R..R.......u............","1. B e5 right   2. u b6 left   3. B f5 up   4. u f3 down   5. B f6 right"
".u..R.....B........u.......u....R...","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"...B..........Ruu.u.......R.........","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
".....u.B......R......R......u...u...","1. B b5 left   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"..B.......u...R...u...u.R...........","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
".......R....R....B...u.u....u.......","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"...........uB.u...........R.uR......","1. B a4 up   2. u f5 up   3. B a5 up   4. u e2 right   5. B a6 left"
"u..B...........R....u....u......R...","1. B d6 right   2. u b2 left   3. B e6 right   4. u a2 down   5. B f6 right"
"....u....Ru.B............Ru.........","1. B a4 up   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"..............uu.B...R...R.u........","1. B f4 up   2. u d2 right   3. B f5 up   4. u e2 right   5. B f6 right"
"....R..Ruu.......B.....u............","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"........u.....R.uB.....u....R.......","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"...B....uu....R...u..........R......","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"....R..B...u....u..........u.......R","1. B b5 left   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
"...B....u............u....RR....u...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
".uR.......B...u...R.u...............","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"...............uRBu.....R.u.........","1. B f4 up   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"..B......................u.uuR..R...","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
"..B......R.......uu.R....u..........","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
".R....u..........B..u.....u...R.....","1. B f4 up   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"..R......uB.u.............u..R......","1. B e5 right   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
"......u...B.u.......R.u....R........","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
".uR.......B....R....u............u..","1. B e5 right   2. u b6 left   3. B f5 up   4. u d1 right   5. B f6 right"
"........u.....R.uB.R............u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"u.............R..B...uu...R.........","1. B f4 up   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
"...B....u......u...R...........Ru...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
"............B.u.....u.......u..RR...","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
